feature,count
good app,166
great app,80
love app,58
thank,55
use gemini,48
very good app,44
very nice app,30
like app,29
replace google assistant,29
use app,28
open app,27
ask question,26
give answer,24
answer question,24
need improvement,23
love gemini,21
good ai,20
generate image,19
good ai app,18
ask gemini,17
unlock phone,17
good application,16
create image,16
set reminder,14
use google assistant,14
give wrong answer,14
awesome app,14
have problem,14
change language,13
amazing app,13
make mistake,13
need lot,13
nice app,13
nice work,12
like gemini,12
good job,12
get answer,11
need more improvement,11
very helpful app,11
play music,11
good experience,10
very useful app,10
waste,9
make call,9
download app,9
chat gpt,9
do thing,8
give5 star,8
good working,8
update,8
good work,8
have idea,8
replace assistant,8
great experience,8
bad ai,8
great ai,8
need work,8
garbage,8
great job,7
change voice,7
give information,7
enjoy app,7
have issue,7
good one,7
very good ai,7
delete app,7
useful app,6
give correct answer,6
use ai,6
good service,6
excellent performance,6
play song,6
ai,6
thank google,6
add feature,6
set alarm,6
do lot,6
do simple task,6
solve problem,6
open spotify,6
have gemini,6
edit,5
find answer,5
wrong answer,5
helpful app,5
use voice,5
recommend app,5
understand language,5
very nice application,5
solve question,5
app,5
love ai,5
great help,5
need app,5
set timer,5
control phone,5
good assistant,5
try gemini,5
have conversation,5
bad experience,5
good morning,5
generate picture,5
play spotify,4
cool app,4
very bad app,4
do basic thing,4
good friend,4
best ai,4
use phone,4
wonderful app,4
have potential,4
meet expectation,4
great work,4
have word,4
ask google assistant,4
good performance,4
make picture,4
give time,4
have lot,4
amazing application,4
complete task,4
gemini,4
very good application,4
very nice ai app,4
waste time,4
hear voice,4
save chat,4
answer simple question,4
turn light,4
use gemini app,4
disable app,4
need,4
have question,4
give accurate answer,4
blow mind,4
pay attention,3
follow instruction,3
need more work,3
prefer google assistant,3
change name,3
instal app,3
provide answer,3
good platform,3
wrong information,3
fix issue,3
use application,3
good thing,3
control spotify,3
work,3
give exact answer,3
rubbish,3
change rating,3
useless app,3
love application,3
best ai app,3
very nice experience,3
have answer,3
