feature,count
have exactly same feature,1
remove thing,1
get pdf upload option,1
runie application,1
have new version,1
paste ai result,1
total trash,1
use chatgpt,1
have one continual conversation,1
generate one image,1
inconsistent behavior,1
motivate friend,1
recite text,1
take offence,1
have recommendation,1
destroy layout,1
erase previous chat,1
destroy copilot experience,1
lose great functionality,1
love new interface,1
lack all feature,1
remove models ability,1
pull current datum,1
edit conversation,1
need app,1
delete history,1
divide conversation,1
have many limitation,1
search content,1
hate new update,1
get2 start,1
chat gpt,1
love transformation,1
give wrong answer,1
use microsoft proprietary llm,1
con,1
pro fast app,1
use chat,1
give option,1
compose picture,1
read text,1
see ai generate text,1
also kind,1
prefer slightly robotic tone,1
l update,1
remove image file insert,1
miss promt edit and copy option,1
miss part,1
see text,1
use ai image creation,1
like copilot app,1
need ai's bill,1
open new app,1
change rating,1
amend text,1
want old versionn,1
get so little use,1
use voice conversation,1
appreciate new version,1
do coding,1
answer each and every question,1
terrible microsoft product,1
absolute garbage,1
check website,1
add like feature,1
3 star,1
hear generate response,1
verify age,1
lose all privacy,1
have incorrect age,1
read answer,1
show pic,1
hit glitch,1
get one picture,1
hate downgrade,1
ask2000word answer,1
insufficient lack,1
avoid answer,1
absolutely awesome app,1
give proper answer,1
why such downgrade,1
ask programming question,1
quick answer,1
install old version,1
have web search,1
give old app,1
read response,1
have dark text,1
big regression,1
use google assistant,1
restart question,1
review past conversation,1
review info,1
have subscription,1
have only about an hour,1
inquire well indepth question,1
use speech talk,1
have strange broken pronunciation,1
use previous default voice,1
like default voice,1
reset,1
great tool,1
introduce bug,1
make inaccurate calculation,1
bring last version,1
disable bluetooth,1
issue,1
start different chat window,1
use learning account,1
upload item,1
access chat history,1
have disadvantage,1
post picture,1
like new app,1
roll update,1
smart application,1
give whole wrong script,1
love new look,1
understand mathematical expression,1
play sample,1
add content,1
uninstall app,1
show wrong email,1
train ai,1
estimate another2 to4 hour,1
upload small file,1
transfer note,1
consider other ai module,1
upload picture,1
do all llm stuff,1
set timer,1
add call option,1
separate response,1
take lot,1
like ux,1
change title,1
address issue,1
leave negative impression,1
start trial,1
lack basic functionality,1
expression,1
show expression,1
explain problem,1
use previous version,1
very good application,1
amazing spider man,1
get quick data information,1
finally microsoft work,1
like fact,1
love update interface,1
learn new thing,1
hate politic,1
perfect app thank,1
three word,1
bring element,1
user friendly good ai companion,1
take earbud,1
take all practicality,1
do half stuff,1
set two language,1
change language,1
such bad upgrade,1
keep thing,1
garbage,1
restrict free speech,1
turn tool,1
attend request,1
more image creation,1
redesign interface,1
love new update,1
take care,1
want ai,1
text copying,1
drive,1
reinstall copilot,1
refuse request,1
have outdated or incomplete information,1
give2 star,1
love co pilot,1
take so much functionality,1
delete old conversation,1
bounce idea,1
serve purpose,1
enjoy ols version,1
download apk,1
kill functionality,1
ask co pilot,1
use poe,1
love microsoft co,1
saviour,1
f good app,1
provide detailed information,1
generate speech,1
